Test_ID,Predicted_Reference_Parameter,Validity_Label
TST-0074,13.6078,Valid
TST-0004,34.1324,Valid
TST-0157,23.705,Valid
TST-0143,27.5604,Valid
TST-0179,40.8145,Valid
TST-0075,27.269,Valid
TST-0233,25.1587,Valid
TST-0111,26.2697,Valid
TST-0350,21.1271,Valid
TST-0122,17.2783,Valid
TST-0076,22.3485,Valid
TST-0304,26.0806,Valid
TST-0190,29.7036,Valid
TST-0061,16.8617,Valid
TST-0009,26.7915,Valid
TST-0194,43.8929,Valid
TST-0156,15.3732,Invalid
TST-0088,31.3895,Valid
TST-0256,47.341,Valid
TST-0329,16.3243,Valid
TST-0219,41.5997,Valid
TST-0306,13.7114,Valid
TST-0324,22.6018,Valid
TST-0113,21.7273,Valid
TST-0135,16.1772,Valid
TST-0339,17.8104,Valid
TST-0260,23.0183,Valid
TST-0195,26.8548,Valid
TST-0286,27.8279,Valid
TST-0015,25.0588,Valid
TST-0263,19.3574,Valid
TST-0147,24.8167,Valid
TST-0002,24.5794,Invalid
TST-0114,46.4106,Valid
TST-0271,28.6666,Invalid
TST-0223,22.2543,Valid
TST-0344,16.1173,Valid
TST-0183,30.6443,Valid
TST-0327,34.4161,Valid
TST-0250,19.9331,Invalid
TST-0185,37.6639,Valid
TST-0242,21.4111,Valid
TST-0158,13.1498,Valid
TST-0078,44.6903,Valid
TST-0120,22.5246,Invalid
TST-0093,30.3792,Valid
TST-0051,15.7322,Valid
TST-0010,15.9492,Valid
TST-0013,51.6159,Valid
TST-0049,15.0014,Valid
TST-0041,17.6425,Valid
TST-0055,31.9323,Valid
TST-0012,20.7155,Valid
TST-0127,49.0424,Valid
TST-0225,26.5801,Valid
TST-0050,24.1311,Valid
TST-0172,38.595,Invalid
TST-0079,32.2464,Valid
TST-0046,21.9338,Valid
TST-0325,18.2891,Valid
TST-0280,20.375,Valid
TST-0140,15.368,Valid
TST-0244,47.4295,Invalid
TST-0203,21.2985,Valid
TST-0238,18.5215,Valid
TST-0092,29.3337,Valid
TST-0307,14.0023,Valid
TST-0176,29.8796,Valid
TST-0115,17.7456,Invalid
TST-0028,19.7105,Invalid
TST-0317,18.9096,Valid
TST-0251,38.773,Valid
TST-0301,14.9091,Valid
TST-0116,36.7789,Valid
TST-0056,23.9053,Valid
TST-0166,27.8579,Valid
TST-0247,33.3317,Valid
TST-0291,27.4345,Valid
TST-0167,29.5893,Invalid
TST-0313,47.9944,Valid
TST-0105,13.985,Valid
TST-0104,20.9192,Valid
TST-0045,35.0976,Valid
TST-0289,44.1856,Valid
TST-0048,27.5954,Valid
TST-0110,18.7974,Valid
TST-0037,43.3739,Invalid
TST-0305,18.533,Valid
TST-0240,33.0692,Valid
TST-0155,33.768,Valid
TST-0119,52.7553,Valid
TST-0295,23.4503,Valid
TST-0229,18.4819,Valid
TST-0106,21.2555,Valid
TST-0052,15.8349,Valid
TST-0276,21.7656,Invalid
TST-0216,21.7605,Valid
TST-0208,20.3084,Valid
TST-0188,21.9666,Valid
TST-0145,49.3034,Valid
TST-0039,21.6925,Valid
TST-0173,18.9876,Valid
TST-0082,20.3602,Valid
TST-0296,36.6935,Valid
TST-0297,35.9114,Valid
TST-0125,17.6066,Valid
TST-0199,21.544,Invalid
TST-0330,21.7758,Valid
TST-0133,36.3945,Valid
TST-0175,31.7933,Valid
TST-0270,45.1143,Valid
TST-0255,16.9018,Valid
TST-0025,13.6321,Valid
TST-0073,13.9708,Valid
TST-0077,20.7537,Valid
TST-0293,14.8719,Valid
TST-0212,32.4305,Invalid
TST-0081,14.1931,Valid
TST-0328,19.3298,Valid
TST-0290,49.5793,Invalid
TST-0337,16.6287,Valid
TST-0171,23.904,Valid
TST-0057,30.1017,Valid
TST-0284,19.4193,Valid
TST-0063,25.4528,Invalid
TST-0022,22.101,Valid
TST-0044,17.2876,Valid
TST-0035,24.1186,Valid
TST-0258,44.9775,Invalid
TST-0334,26.7964,Valid
TST-0018,26.9961,Valid
TST-0321,21.5739,Valid
TST-0282,14.7438,Valid
TST-0142,45.5772,Invalid
TST-0312,23.434,Valid
TST-0101,21.5249,Valid
TST-0134,16.5426,Invalid
TST-0287,33.8822,Valid
TST-0153,33.1768,Valid
TST-0299,29.5614,Valid
TST-0204,22.884,Invalid
TST-0090,19.601,Valid
TST-0186,33.1853,Valid
TST-0209,48.9106,Valid
TST-0130,21.6319,Valid
TST-0224,22.8204,Valid
TST-0302,28.3212,Valid
TST-0118,15.4954,Valid
TST-0292,20.3022,Valid
TST-0345,22.6081,Invalid
TST-0108,22.2154,Valid
TST-0071,15.436,Valid
TST-0053,15.8898,Valid
TST-0273,17.0789,Valid
TST-0300,15.2073,Valid
TST-0148,19.0611,Valid
TST-0347,39.3839,Valid
TST-0146,28.3678,Invalid
TST-0241,18.1531,Valid
TST-0096,16.6168,Valid
TST-0220,22.9361,Valid
TST-0174,22.2457,Valid
TST-0246,14.8459,Valid
TST-0136,18.6623,Valid
TST-0109,21.4883,Valid
TST-0040,37.1544,Valid
TST-0043,21.0072,Invalid
TST-0181,37.1113,Valid
TST-0268,17.347,Valid
TST-0253,16.4258,Valid
TST-0017,25.6488,Valid
TST-0201,22.9745,Valid
TST-0129,16.7562,Valid
TST-0068,47.4985,Valid
TST-0161,14.8321,Valid
TST-0298,20.5939,Invalid
TST-0094,44.048,Valid
TST-0336,28.0287,Invalid
TST-0149,20.869,Valid
TST-0191,48.6531,Valid
TST-0032,18.1724,Valid
TST-0054,16.3948,Valid
TST-0349,54.8123,Valid
TST-0100,18.2024,Valid
TST-0162,19.206,Valid
TST-0326,23.2168,Invalid
TST-0340,19.5715,Valid
TST-0319,28.683,Valid
TST-0064,18.8165,Valid
TST-0259,28.4376,Valid
TST-0066,44.0797,Valid
TST-0123,48.2679,Valid
TST-0218,20.7971,Valid
TST-0261,23.5901,Valid
TST-0196,21.1541,Valid
TST-0281,24.9777,Invalid
TST-0303,37.048,Valid
TST-0254,22.8979,Valid
TST-0322,18.4604,Valid
TST-0139,16.921,Valid
TST-0257,37.65,Valid
TST-0033,16.7457,Valid
TST-0112,49.299,Valid
TST-0021,23.801,Valid
TST-0083,18.2036,Valid
TST-0150,24.4933,Valid
TST-0265,23.3854,Valid
TST-0227,34.6575,Valid
TST-0170,24.9376,Valid
TST-0318,28.1706,Valid
TST-0097,16.377,Valid
TST-0152,34.7226,Valid
TST-0084,57.1561,Valid
TST-0124,17.0607,Valid
TST-0098,33.8167,Valid
TST-0341,30.2156,Valid
TST-0042,31.2379,Valid
TST-0189,19.6244,Valid
TST-0285,22.9359,Valid
TST-0020,22.2478,Valid
TST-0314,43.8657,Valid
