Test_ID,Predicted_Reference_Parameter,Valid_Invalid
TST-0291,27.4135,Valid
TST-0167,29.5062,Invalid
TST-0313,47.9984,Valid
TST-0105,14.0377,Valid
TST-0104,21.0129,Valid
TST-0045,35.5676,Valid
TST-0289,43.6976,Valid
TST-0048,27.4435,Valid
TST-0110,18.7546,Valid
TST-0037,43.0392,Invalid
TST-0305,18.5755,Valid
TST-0240,33.2614,Valid
TST-0155,33.9338,Valid
TST-0119,52.819,Valid
TST-0295,23.3669,Valid
TST-0229,18.5454,Valid
TST-0106,21.2954,Valid
TST-0052,15.949,Valid
TST-0276,22.1091,Invalid
TST-0216,21.3206,Valid
TST-0208,20.2799,Valid
TST-0188,21.7547,Valid
TST-0145,49.1871,Valid
TST-0039,21.808,Valid
TST-0173,18.8912,Valid
TST-0082,20.4845,Valid
TST-0296,36.9083,Valid
TST-0297,35.3216,Valid
TST-0125,17.6772,Valid
TST-0199,21.6897,Invalid
TST-0330,21.863,Valid
TST-0133,36.3188,Valid
TST-0175,31.6086,Valid
TST-0270,44.9373,Valid
TST-0255,16.8129,Valid
TST-0025,13.681,Valid
TST-0073,13.833,Valid
TST-0077,20.888,Valid
TST-0293,14.7054,Valid
TST-0212,32.5485,Invalid
TST-0081,13.9739,Valid
TST-0328,19.4826,Valid
TST-0290,50.3773,Invalid
TST-0337,16.5747,Valid
TST-0171,23.3929,Valid
TST-0057,30.4398,Valid
TST-0284,19.387,Valid
TST-0063,25.2953,Invalid
TST-0022,22.4514,Valid
TST-0044,17.1127,Valid
TST-0035,24.106,Valid
TST-0258,44.7886,Invalid
TST-0334,26.9337,Valid
TST-0018,27.0006,Valid
TST-0321,21.5354,Valid
TST-0282,14.6674,Valid
TST-0142,45.414,Invalid
TST-0312,23.5222,Valid
TST-0101,21.5686,Valid
TST-0134,16.5044,Invalid
TST-0287,33.7723,Valid
TST-0153,32.9118,Valid
TST-0299,29.6931,Valid
TST-0204,22.801,Invalid
TST-0090,19.6277,Valid
TST-0186,33.1881,Valid
TST-0209,48.7839,Valid
TST-0130,21.7858,Valid
TST-0224,23.0371,Valid
TST-0302,29.2658,Valid
TST-0118,15.4762,Valid
TST-0292,20.3244,Valid
TST-0345,22.2309,Invalid
TST-0108,23.8306,Valid
TST-0071,15.4285,Valid
TST-0053,15.9501,Valid
TST-0273,16.9984,Valid
TST-0300,15.1082,Valid
TST-0148,19.2662,Valid
TST-0347,39.3059,Valid
TST-0146,28.4772,Invalid
TST-0241,18.2112,Valid
TST-0096,16.526,Valid
TST-0220,22.906,Valid
TST-0174,22.4407,Valid
TST-0246,14.7448,Valid
TST-0136,18.7899,Valid
TST-0109,21.6898,Valid
TST-0040,37.1746,Valid
TST-0043,21.1981,Invalid
TST-0181,37.3368,Valid
TST-0268,17.3527,Valid
TST-0253,16.4278,Valid
TST-0017,25.5367,Valid
TST-0201,22.9465,Valid
TST-0129,16.7249,Valid
TST-0068,47.6485,Valid
TST-0161,15.1418,Valid
TST-0298,20.6292,Invalid
TST-0094,44.2947,Valid
TST-0336,27.9737,Invalid
TST-0149,20.6241,Valid
TST-0191,48.4866,Valid
TST-0032,18.0848,Valid
TST-0054,16.3678,Valid
TST-0349,55.4107,Valid
TST-0100,18.1895,Valid
TST-0162,19.2923,Valid
TST-0326,23.1653,Invalid
TST-0340,19.5498,Valid
TST-0319,28.7742,Valid
TST-0064,18.5938,Valid
TST-0259,28.7741,Valid
TST-0066,43.8938,Valid
TST-0123,48.5394,Valid
TST-0218,20.9472,Valid
TST-0261,23.1902,Valid
TST-0196,21.0378,Valid
TST-0281,25.0731,Invalid
TST-0303,36.9619,Valid
TST-0254,22.9036,Valid
TST-0322,18.5032,Valid
TST-0139,16.9808,Valid
TST-0257,37.765,Valid
TST-0033,16.6986,Valid
TST-0112,49.5435,Valid
TST-0021,24.0717,Valid
TST-0083,18.2795,Valid
TST-0150,25.2084,Valid
TST-0265,23.4009,Valid
TST-0227,34.8411,Valid
TST-0170,24.7306,Valid
TST-0318,28.841,Valid
TST-0097,16.4165,Valid
TST-0152,34.7321,Valid
TST-0084,57.546,Valid
TST-0124,16.8439,Valid
TST-0098,33.8848,Valid
TST-0341,30.263,Valid
TST-0042,31.5496,Valid
TST-0189,19.5931,Valid
TST-0285,22.8629,Valid
TST-0020,22.331,Valid
TST-0314,44.4089,Valid
